
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2020-03-23;43.017,48;5814115981131;45.381,81;6316236793580;41.554,80;9102840928246;44.676,56;2047477962171;69.629,39;867445056387;40.958,86;4706472613676;45.636,93;18247923663
2020-03-24;42.568,83;5857743930760;44.868,47;6353941260414;41.166,86;9346581825304;44.220,56;2051088733130;68.843,33;864586754227;40.427,56;4698795035953;45.197,64;18953342189
2020-03-25;42.510,90;6045052304625;44.800,00;6486865140579;41.110,80;9582958876367;44.199,77;2101691830160;68.794,24;874624609272;40.394,81;4803016674968;45.179,07;19850090927
2020-03-26;42.840,49;6334939988629;45.093,21;6699121821032;41.411,04;9853625501343;44.461,03;2156939559475;69.245,81;891738144963;40.704,90;4929938538847;45.514,10;20949512737
2020-03-27;43.093,65;6676951377338;45.399,83;6971946576215;41.587,64;10233488875459;44.728,69;2224964854579;69.697,50;913466472753;40.985,04;5114392718600;45.819,82;22113451760
2020-03-28;43.093,65;6676951377338;45.399,83;6971946576215;41.587,64;10233488875459;44.728,69;2224964854579;69.697,50;913466472753;40.985,04;5114392718600;45.819,82;22113451760
2020-03-29;43.093,65;6676951377338;45.399,83;6971946576215;41.587,64;10233488875459;44.728,69;2224964854579;69.697,50;913466472753;40.985,04;5114392718600;45.819,82;22113451760
2020-03-30;43.058,30;6512796118341;45.406,43;6725124172600;41.498,37;9827658731853;44.713,53;2169247593067;69.672,66;898673180810;40.944,26;5021964749292;45.833,65;21901660631
2020-03-31;43.091,85;6429602298950;45.474,61;6667398051036;41.594,47;9527785468660;44.765,18;2135817439855;69.745,81;898831990582;40.988,48;5024520238306;45.888,70;21448047808
2020-04-01;43.194,67;6474106071974;45.619,59;6688354669787;41.711,46;9505577254809;44.885,84;2113830967125;69.914,83;906519242427;41.113,21;5059044876016;46.010,61;21331297719
2020-04-02;43.552,08;6553312933485;45.998,76;6750518295585;41.970,79;9571068641844;45.262,53;2136245753929;70.381,94;915314664807;41.436,71;5117473530395;46.408,80;21125562624
2020-04-03;43.608,52;6611942578757;46.073,35;6808261512768;42.016,38;9645074995313;45.321,30;2151821305000;70.473,21;921790907416;41.506,85;5152611903480;46.526,24;21193580104
2020-04-04;43.608,52;6611942578757;46.073,35;6808261512768;42.016,38;9645074995313;45.321,30;2151821305000;70.473,21;921790907416;41.506,85;5152611903480;46.526,24;21193580104
2020-04-05;43.608,52;6611942578757;46.073,35;6808261512768;42.016,38;9645074995313;45.321,30;2151821305000;70.473,21;921790907416;41.506,85;5152611903480;46.526,24;21193580104
